resume_text,job_role
"Python, statistics, machine learning, pandas, numpy, scikit-learn, data visualization","Data Scientist"
"Exploratory data analysis, feature engineering, regression models, classification algorithms","Data Scientist"
"SQL, Excel, Tableau, Power BI, dashboard creation, business reporting","Data Analyst"
"Data cleaning, SQL queries, KPI analysis, stakeholder reporting, Excel dashboards","Data Analyst"
"Python, TensorFlow, PyTorch, deep learning models, neural networks, model training","Machine Learning Engineer"
"End-to-end machine learning pipelines, model evaluation, hyperparameter tuning","Machine Learning Engineer"
"Computer vision, NLP, transformers, deep learning research, AI model development","AI Engineer"
"Artificial intelligence systems, NLP models, chatbot development, text analytics","AI Engineer"
"Python, Java, data structures, algorithms, REST APIs, software development","Software Developer"
"Backend development, version control using Git, API design, debugging","Software Developer"
"Big data processing, Spark, Hadoop, data pipelines, ETL workflows","Data Engineer"
"Data warehousing, data integration, cloud data platforms, batch processing","Data Engineer"
"Natural language processing, text preprocessing, sentiment analysis, TF-IDF","NLP Engineer"
"Tokenization, stopword removal, text classification, language models","NLP Engineer"
"SQL optimization, data validation, reporting automation, business insights","Data Analyst"
